reaction_id	name	imbalance	n_elements_off
rxn03396_c0	R04989_c0	{'charge': 2.0}	1
rxn05947_c0	L-proline:(acceptor) oxidoreductase_c0	{'charge': -1.0, 'H': -3.0, 'N': -1.0, 'R': -1.0}	4
rxn06061_c0	Spermidine:(acceptor) oxidoreductase	{'H': -2.0, 'N': -1.0, 'R': -1.0}	3
rxn05927_c0	biotin synthase_c0	{'charge': -2.0}	1
rxn06436_c0	L-Glutamate:tRNA(Gln) ligase (AMP-forming)_c0	{'charge': -3.0, 'C': 10.0, 'H': 14.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}	6
rxn06437_c0	L-Glutamine:tRNA(Gln) ligase (AMP-forming)_c0	{'charge': -2.0, 'C': 10.0, 'H': 15.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}	6
rxn11651_c0	benzoyl-CoA:acceptor oxidoreductase_c0	{'H': 2.0, 'N': 1.0, 'R': 1.0}	3
rxn06167_c0	cyclohexa-1,5-diene-1-carbonyl-CoA:ferredoxin oxidoreductase (aromatizing, ATP-forming)_c0	{'charge': -2.0, 'N': 1.0, 'R': 1.0}	3
rxn06938_c0	glutaryl-CoA:(acceptor) 2,3-oxidoreductase (non-decarboxylating)_c0	{'H': -2.0, 'N': -1.0, 'R': -1.0}	3
rxn16112_c0	R09252_c0	{'charge': -2.0}	1
rxn15455_c0	n (R)-3-Hydroxybutanoyl-CoA <-> Poly-beta-hydroxybutyrate + n CoA	{'R': 2.0}	1
rxn07189_c0	arbon-monoxide,water:ferredoxin oxidoreductase_c0	{'charge': 1.0}	1
rxn07625_c0	R07834_c0	{'charge': 2.0, 'O': 1.0}	2
rxn06926_c0	reduced ferredoxin:acetylene oxidoreductase (ATP-hydrolysing)_c0	{'charge': -1.0}	1
rxn00689_c0	Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)_c0	{'charge': -1.0, 'C': 5.0, 'H': 6.0, 'N': 1.0, 'O': 3.0}	5
rxn00687_c0	Tetrahydrofolate_NADP__oxidoreductase_c0	{'charge': 2.0}	1
rxn00664_c0	R00915_c0	{'charge': -2.0, 'C': 4.0, 'H': -4.0, 'O': 2.0}	4
rxn00685_c0	bifunctional dihydrofolate reductase-thymidylate synthase 1 / DHFR-TS (THY-1)_c0	{'charge': 2.0}	1
rxn06718_c0	[poly-N-acetyl-D-glucosaminyl-(1->4)-(N-acetyl-D-muramoylpentapeptide)]-diphosphoundecaprenol:[N-acetyl-D-glucosaminyl-(1->4)-N-acetyl-D-muramoylpentapeptide]-diphosphoundecaprenol polysaccharidetransferase_c0	{'charge': -3.0, 'C': 95.0, 'H': 153.0, 'N': 8.0, 'O': 28.0, 'P': 2.0}	6
rxn02959_c0	S-adenosyl-L-methionine:magnesium-protoporphyrin-IX O-methyltransferase_c0	{'charge': 1.0}	1
rxn04154_c0	magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)_c0	{'H': 1.0}	1
rxn04158_c0	R06271_c0	{'charge': -2.0}	1
rxn04160_c0	ATP-dependent ferredoxin:protochlorophyllide-a 7,8-oxidoreductase_c0	{'charge': -2.0}	1
