reaction_id	exists_in_model	pathway	role	EC	model_name	lower_bound	upper_bound	reversible	gpr	n_metabolites	reaction_string	note
rxn00018_c0	True	CBB	RuBisCO_carboxylase	4.1.1.39	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)_c0	0.0	1000.0	False	TX73_RS08010 and TX73_RS08015	5	cpd00001[c0] + cpd00011[c0] + cpd00871[c0] --> 2.0 cpd00067[c0] + 2.0 cpd00169[c0]	CO2 + RuBP + H2O -> 2x 3PG; TRUE RuBisCO
rxn01111_c0	True	CBB	phosphoribulokinase	2.7.1.19	ATP:D-ribulose-5-phosphate 1-phosphotransferase_c0	0.0	1000.0	False	TX73_RS24115	5	cpd00002[c0] + cpd00171[c0] --> cpd00008[c0] + cpd00067[c0] + cpd00871[c0]	ATP + Ru5P -> RuBP; PRK
rxn01116_c0	True	CBB_support	Ru5P_epimerase	5.1.3.1	D-Ribulose-5-phosphate 3-epimerase_c0	-1000.0	1000.0	True	TX73_RS19755	2	cpd00171[c0] <=> cpd00198[c0]	Ru5P <-> Xu5P; NOT RuBisCO
rxn05040_c0	True	riboflavin	DHBP_synthase	4.1.99.12	D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)_c0	0.0	1000.0	False	TX73_RS05620	4	cpd00171[c0] --> cpd00047[c0] + cpd00067[c0] + cpd11225[c0]	Ru5P -> DHBP; NOT RuBisCO
rxn02507_c0	True	tryptophan	indole3glycerolP_synthase	4.1.1.48	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)_c0	0.0	1000.0	False	TX73_RS14985	5	cpd00067[c0] + cpd00956[c0] --> cpd00001[c0] + cpd00011[c0] + cpd02210[c0]	NOT RuBisCO; tryptophan biosynthesis
rxn00256_c0	True	TCA	citrate_synthase	2.3.3.1	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)_c0	0.0	1000.0	False	TX73_RS15065	6	cpd00001[c0] + cpd00022[c0] + cpd00032[c0] --> cpd00010[c0] + cpd00067[c0] + cpd00137[c0]	
rxn00974_c0	True	TCA	aconitase	4.2.1.3	citrate hydro-lyase (cis-aconitate-forming)_c0	-1000.0	1000.0	True	TX73_RS01045	3	cpd00137[c0] <=> cpd00001[c0] + cpd00331[c0]	
rxn00199_c0	True	TCA	isocitrate_dehydrogenase	1.1.1.42	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0	0.0	1000.0	False	TX73_RS19855	4	cpd00067[c0] + cpd03187[c0] --> cpd00011[c0] + cpd00024[c0]	
rxn00285_c0	True	TCA	succinyl-CoA_synthetase	6.2.1.5	Succinate:CoA ligase (ADP-forming)_c0	-1000.0	1000.0	True	TX73_RS00985 and TX73_RS00990	6	cpd00002[c0] + cpd00010[c0] + cpd00036[c0] <=> cpd00008[c0] + cpd00009[c0] + cpd00078[c0]	
rxn00288_c0	True	TCA	succinate_dehydrogenase	1.3.5.1	Succinate:(acceptor) oxidoreductase_c0	-1000.0	1000.0	True	TX73_RS01130 and TX73_RS01135	4	cpd00015[c0] + cpd00036[c0] <=> cpd00106[c0] + cpd00982[c0]	
