substrate	atp_cap	status	max_growth	growth_at_h2_max	h2_flux	h2_yield_per_100C	substrate_flux	atp_synthase_flux	nitrogenase_flux	photon_uptake	photosynthetic_rc	atp_cap_label	multiplier
acetate	1.125	optimal	8.96945735739011	7.175565885912089	90.40162330140915	452.0081165070457	10.0	1.125	0.0	0.0	0.0	1.12	0.5
acetate	1.6875	optimal	8.992586884582687	7.19406950766615	90.4963847529184	452.48192376459195	10.0	1.6875	0.0	0.0	0.0	1.69	0.75
acetate	2.25	optimal	9.015716411775248	7.212573129420199	90.59114620443042	452.9557310221521	10.0	2.25	0.0	0.0	0.0	2.25	1.0
acetate	3.375	optimal	9.061975466160352	7.249580372928282	90.78066910745082	453.90334553725415	10.0	3.375	0.0	0.0	0.0	3.38	1.5
acetate	4.5	optimal	9.108234520545484	7.286587616436387	90.9701920104709	454.8509600523545	10.0	4.5	0.0	0.0	0.0	4.50	2.0
acetate	11.25	optimal	9.385788846856245	7.5086310774849965	92.10732942859464	460.53664714297315	10.0	11.25	0.0	0.0	0.0	11.25	5.0
acetate	22.5	optimal	9.848379390707528	7.878703512566023	94.00255845880068	470.01279229400336	10.0	22.5	0.0	0.0	0.0	22.50	10.0
acetate		optimal	10.702006077099565	8.561604861679653	94.66622619493415	473.33113097467077	10.0	55.16065000384091	0.0	-36.6	18.3	uncapped	inf
succinate	0.9520833333333334	optimal	8.804398969086128	7.043519175268902	89.40793618810049	447.0396809405025	5.0	0.9520833333333334	0.0	0.0	0.0	0.95	0.5
succinate	1.428125	optimal	8.823935750140334	7.059148600112268	89.4882029196356	447.441014598178	5.0	1.428125	0.0	0.0	0.0	1.43	0.75
succinate	1.9041666666666668	optimal	8.843472531194513	7.07477802495561	89.5684696511715	447.8423482558575	5.0	1.9041666666666668	0.0	0.0	0.0	1.90	1.0
succinate	2.85625	optimal	8.882546093302869	7.106036874642296	89.72900311424279	448.64501557121395	5.0	2.85625	0.0	0.0	0.0	2.86	1.5
succinate	3.8083333333333336	optimal	8.921619655411215	7.137295724328972	89.88953657731517	449.4476828865759	5.0	3.8083333333333336	0.0	0.0	0.0	3.81	2.0
succinate	9.520833333333334	optimal	9.156061028061306	7.324848822449045	90.85273735574461	454.263686778723	5.0	9.520833333333334	0.0	0.0	0.0	9.52	5.0
succinate	19.041666666666668	optimal	9.54679664914483	7.637437319315865	92.45807198646219	462.29035993231093	5.0	19.041666666666668	0.0	0.0	0.0	19.04	10.0
succinate		optimal	10.56058117818277	8.448464942546217	93.8524512041507	469.26225602075345	5.0	56.23535360148215	0.0	-36.6	18.3	uncapped	inf
butyrate	1.1812500000000001	optimal	9.089253622833551	7.2714028982668415	91.72986587787479	458.649329389374	5.0	1.1812500000000001	0.0	0.0	0.0	1.18	0.5
butyrate	1.771875	optimal	9.113539626385752	7.290831701108601	91.8293654019599	459.14682700979955	5.0	1.771875	0.0	0.0	0.0	1.77	0.75
butyrate	2.3625000000000003	optimal	9.137825629937907	7.310260503950326	91.92886492604636	459.6443246302318	5.0	2.3625000000000003	0.0	0.0	0.0	2.36	1.0
butyrate	3.54375	optimal	9.1863976370423	7.34911810963384	92.1278639742184	460.639319871092	5.0	3.54375	0.0	0.0	0.0	3.54	1.5
butyrate	4.7250000000000005	optimal	9.234969644146684	7.3879757153173475	92.32686302238969	461.63431511194847	5.0	4.7250000000000005	0.0	0.0	0.0	4.73	2.0
butyrate	11.812500000000002	optimal	9.526401686773001	7.621121349418401	93.5208573114192	467.60428655709603	5.0	11.812500000000002	0.0	0.0	0.0	11.81	5.0
butyrate	23.625000000000004	optimal	10.012121757816871	8.009697406253498	95.51084779313558	477.55423896567794	5.0	23.625000000000004	0.0	0.0	0.0	23.63	10.0
butyrate		optimal	10.812601130350716	8.650080904280573	95.95036055704463	479.75180278522316	5.0	54.986933303547396	0.0	-36.6	18.3	uncapped	inf
