model_metabolite_id	modelseed_base_id	name	formula	charge	compartment	kegg_id	chebi_id	equilibrator_id	priority	notes
cpd00003[c0]	cpd00003	NAD_c0	C21H26N7O14P2	-1	c0	C00003	NEEDS_LOOKUP	C00003	high	
cpd00004[c0]	cpd00004	NADH_c0	C21H27N7O14P2	-2	c0	C00004	NEEDS_LOOKUP	C00004	high	
cpd00005[c0]	cpd00005	NADPH_c0	C21H26N7O17P3	-4	c0	C00005	NEEDS_LOOKUP	C00005	high	
cpd00006[c0]	cpd00006	NADP_c0	C21H25N7O17P3	-3	c0	C00006	NEEDS_LOOKUP	C00006	high	
cpd00015[c0]	cpd00015	FAD_c0	C27H31N9O15P2	-2	c0	C00016	NEEDS_LOOKUP	C00016	high	
cpd00020[c0]	cpd00020	Pyruvate_c0	C3H3O3	-1	c0	C00022	NEEDS_LOOKUP	C00022	high	
cpd00020[e0]	cpd00020	Pyruvate_e0	C3H3O3	-1	e0	C00022	NEEDS_LOOKUP	C00022	high	
cpd00022[c0]	cpd00022	Acetyl-CoA_c0	C23H34N7O17P3S	-4	c0	C00024	NEEDS_LOOKUP	C00024	high	
cpd00024[c0]	cpd00024	2-Oxoglutarate_c0	C5H4O5	-2	c0	C00026	NEEDS_LOOKUP	C00026	high	
cpd00024[e0]	cpd00024	2-Oxoglutarate_e0	C5H4O5	-2	e0	C00026	NEEDS_LOOKUP	C00026	high	
cpd00029[c0]	cpd00029	Acetate_c0	C2H3O2	-1	c0	C00033	NEEDS_LOOKUP	C00033	high	
cpd00029[e0]	cpd00029	Acetate_e0	C2H3O2	-1	e0	C00033	NEEDS_LOOKUP	C00033	high	
cpd00032[c0]	cpd00032	Oxaloacetate_c0	C4H2O5	-2	c0	C00036	NEEDS_LOOKUP	C00036	high	
cpd00036[c0]	cpd00036	Succinate_c0	C4H4O4	-2	c0	C00042	NEEDS_LOOKUP	C00042	high	
cpd00036[e0]	cpd00036	Succinate_e0	C4H4O4	-2	e0	C00042	NEEDS_LOOKUP	C00042	high	
cpd00040[c0]	cpd00040	Glyoxalate_c0	C2HO3	-1	c0	C00048	NEEDS_LOOKUP	C00048	high	
cpd00061[c0]	cpd00061	Phosphoenolpyruvate_c0	C3H2O6P	-3	c0	C00074	NEEDS_LOOKUP	C00074	high	
cpd00101[c0]	cpd00101	ribose-5-phosphate_c0	C5H9O8P	-2	c0	C00117	NEEDS_LOOKUP	C00117	high	
cpd00106[c0]	cpd00106	Fumarate_c0	C4H2O4	-2	c0	C00122	NEEDS_LOOKUP	C00122	high	
cpd00106[e0]	cpd00106	Fumarate_e0	C4H2O4	-2	e0	C00122	NEEDS_LOOKUP	C00122	high	
cpd00130[c0]	cpd00130	L-Malate_c0	C4H4O5	-2	c0	C00149	NEEDS_LOOKUP	C00149	high	
cpd00130[e0]	cpd00130	L-Malate_e0	C4H4O5	-2	e0	C00149	NEEDS_LOOKUP	C00149	high	
cpd00137[c0]	cpd00137	Citrate_c0	C6H5O7	-3	c0	C00158	NEEDS_LOOKUP	C00158	high	
cpd00137[e0]	cpd00137	Citrate_e0	C6H5O7	-3	e0	C00158	NEEDS_LOOKUP	C00158	high	
cpd00142[c0]	cpd00142	Acetoacetate_c0	C4H5O3	-1	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	high	
cpd00171[c0]	cpd00171	D-Ribulose5-phosphate_c0	C5H9O8P	-2	c0	C00199	NEEDS_LOOKUP	C00199	high	
cpd00982[c0]	cpd00982	FADH2_c0	C27H33N9O15P2	-2	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	high	
cpd00001[c0]	cpd00001	H2O_c0	H2O	0	c0	C00001	NEEDS_LOOKUP	C00001	medium	
cpd00001[e0]	cpd00001	H2O_e0	H2O	0	e0	C00001	NEEDS_LOOKUP	C00001	medium	
cpd00002[c0]	cpd00002	ATP_c0	C10H13N5O13P3	-3	c0	C00002	NEEDS_LOOKUP	C00002	medium	
cpd00008[c0]	cpd00008	ADP_c0	C10H13N5O10P2	-2	c0	C00008	NEEDS_LOOKUP	C00008	medium	
cpd00009[c0]	cpd00009	Phosphate_c0	HO4P	-2	c0	C00009	NEEDS_LOOKUP	C00009	medium	
cpd00009[e0]	cpd00009	Phosphate_e0	HO4P	-2	e0	C00009	NEEDS_LOOKUP	C00009	medium	
cpd00011[c0]	cpd00011	CO2_c0	CO2	0	c0	C00011	NEEDS_LOOKUP	C00011	medium	
cpd00011[e0]	cpd00011	CO2_e0	CO2	0	e0	C00011	NEEDS_LOOKUP	C00011	medium	
cpd00012[c0]	cpd00012	PPi_c0	HO7P2	-3	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd00013[c0]	cpd00013	NH3_c0	H4N	1	c0	C00014	NEEDS_LOOKUP	C00014	medium	
cpd00013[e0]	cpd00013	NH3_e0	H4N	1	e0	C00014	NEEDS_LOOKUP	C00014	medium	
cpd00018[c0]	cpd00018	AMP_c0	C10H12N5O7P	-2	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd00031[c0]	cpd00031	GDP_c0	C10H13N5O11P2	-2	c0	C00197	NEEDS_LOOKUP	C00197	medium	
cpd00067[c0]	cpd00067	H+_c0	H	1	c0	C00080	NEEDS_LOOKUP	C00080	medium	
cpd00067[e0]	cpd00067	H+_e0	H	1	e0	C00080	NEEDS_LOOKUP	C00080	medium	
cpd00085[c0]	cpd00085	beta-Alanine_c0	C3H7NO2	0	c0	C00085	NEEDS_LOOKUP	C00085	medium	
cpd00102[c0]	cpd00102	Glyceraldehyde3-phosphate_c0	C3H5O6P	-2	c0	C00118	NEEDS_LOOKUP	C00118	medium	
cpd00169[c0]	cpd00169	3-Phosphoglycerate_c0	C3H4O7P	-3	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd00196[c0]	cpd00196	Acetylphosphate_c0	C2H3O5P	-2	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd00211[c0]	cpd00211	Butyrate_c0	C4H7O2	-1	c0	C00246	NEEDS_LOOKUP	C00246	medium	
cpd00211[e0]	cpd00211	Butyrate_e0	C4H7O2	-1	e0	C00246	NEEDS_LOOKUP	C00246	medium	
cpd00242[c0]	cpd00242	H2CO3_c0	CHO3	-1	c0	C00288	NEEDS_LOOKUP	C00288	medium	
cpd00528[c0]	cpd00528	N2_c0	N2	0	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd00557[c0]	cpd00557	Siroheme_c0	C42H36FeN4O16	-8	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd11620[c0]	cpd11620	Reducedferredoxin_c0	Fe2R4S6	-4	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd11621[c0]	cpd11621	Oxidizedferredoxin_c0	Fe2R4S6	-3	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd11640[c0]	cpd11640	H2_c0	H2	0	c0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
cpd11640[e0]	cpd11640	H2_e0	H2	0	e0	NEEDS_LOOKUP	NEEDS_LOOKUP	NEEDS_LOOKUP	medium	
